scheduler,seed,tasks,arrival_mode,card_cv,card_jfi,max_min_ratio,avg_load_imbalance,completion_rate,throughput,flat_pct,bursty_pct
rr,21,800,poisson,0.9876763066740957,0.5337199356349045,30.967474624833216,66548827248.16844,1.0,1.556420233463035,25,75
rr,42,800,poisson,0.9735260161543631,0.5385367920711039,29.67993265896154,65283273750.808586,1.0,1.5594541910331383,25,75
rr,99,800,poisson,0.9987109394239041,0.5253313589545078,31.58276445101869,69703255080.38844,1.0,1.5533980582524272,25,75
rr,123,800,poisson,0.9883660317554166,0.5317598188565913,29.501220637733326,67093752709.31635,1.0,1.556420233463035,25,75
rr,2024,800,poisson,0.9994428470282901,0.5260379816141368,30.83410055508703,68176965986.49096,1.0,1.5533980582524272,25,75
rr,21,800,poisson,0.9308455044268943,0.5754994398939326,32.57475011918481,87434500724.43584,1.0,1.556420233463035,0,100
rr,42,800,poisson,0.8720065847374182,0.6015385158975498,30.784924515779743,81983105982.05447,1.0,1.5594541910331383,0,100
rr,99,800,poisson,0.9333656961919173,0.5724563140760505,32.438901149512404,85628781085.317,1.0,1.5533980582524272,0,100
rr,123,800,poisson,0.9156703598383187,0.5844919790943407,31.91253606179461,87045222729.70222,1.0,1.556420233463035,0,100
rr,2024,800,poisson,0.964514423469026,0.5605225382051867,33.83355501750201,89108263293.32797,1.0,1.5533980582524272,0,100
bestfit,21,800,poisson,0.3286473882594137,0.8820004898411409,1.6402905390534366,8424188358.69106,1.0,1.556420233463035,100,0
bestfit,42,800,poisson,0.3022026897816112,0.8941033191744091,1.6627192132259991,8552760515.135166,1.0,1.5594541910331383,100,0
bestfit,99,800,poisson,0.31071165073032686,0.8897927796785811,1.663004408834836,8466911074.454761,1.0,1.5533980582524272,100,0
bestfit,123,800,poisson,0.3313767513338661,0.8823551131948731,1.682300625520943,8302852447.954699,1.0,1.556420233463035,100,0
bestfit,2024,800,poisson,0.3377990189396265,0.8798238272072082,1.714254115576923,8182663528.8944845,1.0,1.5533980582524272,100,0
bestfit,21,800,poisson,0.6145778059185009,0.7320069941021473,10.934784886753492,38530625141.75837,1.0,1.556420233463035,75,25
bestfit,42,800,poisson,0.5891200774992318,0.7430255708411314,11.104326848037223,38431835453.43244,1.0,1.5594541910331383,75,25
bestfit,99,800,poisson,0.5966793892642615,0.740161379648424,10.93093938125301,40661342364.32897,1.0,1.5533980582524272,75,25
bestfit,123,800,poisson,0.5923848788096225,0.7414638349478033,9.928183091085385,38621364984.5832,1.0,1.556420233463035,75,25
bestfit,2024,800,poisson,0.6089678579444244,0.7348011487620243,11.031606545078398,39098359644.949005,1.0,1.5533980582524272,75,25
